[github.com/kaij_yin/md-server/server]2021/11/16 - 16:13:54.658	[31merror[0m	D:/Go/src/md-server/server/core/server.go:30	listen tcp: lookup tcp/%!d(string=): getaddrinfow: The specified class was not found.
[github.com/kaij_yin/md-server/server]2021/11/16 - 16:15:47.366	[31merror[0m	D:/Go/src/md-server/server/core/server.go:30	listen tcp: lookup tcp/%!d(string=): getaddrinfow: The specified class was not found.
[github.com/kaij_yin/md-server/server]2021/11/16 - 16:16:10.602	[31merror[0m	D:/Go/src/md-server/server/core/server.go:30	listen tcp: lookup tcp/%!d(string=): getaddrinfow: The specified class was not found.
[github.com/kaij_yin/md-server/server]2021/11/17 - 16:53:00.945	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/17 - 17:06:03.332	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/17 - 17:08:24.655	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/17 - 17:09:23.323	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/17 - 17:10:47.547	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/18 - 10:28:14.280	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/18 - 10:33:00.776	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/18 - 10:35:13.773	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/18 - 10:44:50.984	[31merror[0m	D:/Go/src/md-server/server/initialize/redis.go:20	redis connect ping failed, err:	{"err": "dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it."}
[github.com/kaij_yin/md-server/server]2021/11/18 - 14:37:16.957	[31merror[0m	D:/Go/src/md-server/server/api/v1/core/context.go:29	创建目录失败!	{"err": "Error 1452: Cannot add or update a child row: a foreign key constraint fails (`md_server`.`controls`, CONSTRAINT `fk_controls_user` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))"}
[github.com/kaij_yin/md-server/server]2021/11/18 - 21:33:46.922	[31merror[0m	D:/Go/src/md-server/server/api/v1/core/context.go:151	获取失败!	{"err": "Error 1054: Unknown column 'create_time' in 'order clause'; Error 1054: Unknown column 'create_time' in 'order clause'"}
[github.com/kaij_yin/md-server/server]2021/11/18 - 21:35:50.600	[31merror[0m	D:/Go/src/md-server/server/api/v1/core/context.go:151	获取失败!	{"err": "Error 1054: Unknown column 'create_at' in 'order clause'; Error 1054: Unknown column 'create_at' in 'order clause'"}
[github.com/kaij_yin/md-server/server]2021/11/18 - 21:50:09.397	[31merror[0m	D:/Go/src/md-server/server/api/v1/core/context.go:169	获取失败!	{"err": "Error 1054: Unknown column 'context_id' in 'where clause'"}
[github.com/kaij_yin/md-server/server]2021/11/18 - 22:07:55.291	[31merror[0m	D:/Go/src/md-server/server/api/v1/core/context.go:47	创建文档失败!	{"err": "Error 1452: Cannot add or update a child row: a foreign key constraint fails (`md_server`.`controls`, CONSTRAINT `fk_controls_user` FOREIGN KEY (`user_id`) REFERENCES `users` (`id`))"}
[github.com/kaij_yin/md-server/server]2021/11/18 - 22:19:43.246	[31merror[0m	D:/Go/src/md-server/server/api/v1/system/user.go:32	登录失败,未知错误!	{"err": "sql: Scan error on column index 1, name \"created_at\": 类型处理错误"}
[github.com/kaij_yin/md-server/server]2021/11/18 - 22:22:01.488	[31merror[0m	D:/Go/src/md-server/server/api/v1/system/user.go:32	登录失败,未知错误!	{"err": "sql: Scan error on column index 1, name \"created_at\": 类型处理错误"}
[github.com/kaij_yin/md-server/server]2021/11/19 - 15:25:16.879	[31merror[0m	D:/Go/src/md-server/server/api/v1/core/context.go:169	获取失败!	{"err": "权限不足"}
[github.com/kaij_yin/md-server/server]2021/11/19 - 15:30:54.496	[31merror[0m	D:/Go/src/md-server/server/api/v1/core/context.go:169	获取失败!	{"err": "权限不足"}
[github.com/kaij_yin/md-server/server]2021/11/19 - 15:41:30.552	[31merror[0m	D:/Go/src/md-server/server/api/v1/core/context.go:169	获取失败!	{"err": "权限不足"}
